FigFam	description	X188.non.day.1	X190.non.day.1	X191.non.day.1	X196.non.day.1	X197.non.day.1	X200.non.day.1	X187.carb.day.1	X189.carb.day.1	X192.carb.day.1	X194.carb.day.1	X195.carb.day.1	Pvalues	Qvalues	fold_change
FIG00519027_FIG00519028:_hypothetical_protein_	FIG00519027	FIG00519028:_hypothetical_protein_	0	0	0	0	0	0	0	2.6	0	0	31	0.002595934	0.262744719	134.4
FIG00004799_C4-dicarboxylate_transporter_DcuC_(TC_2.A.61.1.1)_	FIG00004799	C4-dicarboxylate_transporter_DcuC_(TC_2.A.61.1.1)_	6.7	1.1	0	0	0	0	0	0	0	0	0	0.016104081	0.262744719	-26
FIG01226738_FIG01226739:_hypothetical_protein_	FIG01226738	FIG01226739:_hypothetical_protein_	44.9	62.1	8.6	1182.8	41.1	590.3	31.4	5.2	131.2	16.5	9.3	0.012852996	0.262744719	-8.306646006
FIG00496975_Metallophosphoesterase_	FIG00496975	Metallophosphoesterase_	0	0	0.8	3.3	0	13.9	0	0	0	0	0	0.009485313	0.262744719	-60
FIG00132967_Iron(III)_dicitrate_transport_ATP-binding_protein_FecE_(TC_3.A.1.14.1)_	FIG00132967	Iron(III)_dicitrate_transport_ATP-binding_protein_FecE_(TC_3.A.1.14.1)_	0	0	0.8	0	9	0	0	0	0	0	0	0.014506003	0.262744719	-32.66666667
FIG00743161_FIG00743162:_hypothetical_protein_	FIG00743161	FIG00743162:_hypothetical_protein_	1.7	3.2	0	1.1	0	0	0	0	0	0	0	0.016056024	0.262744719	-20
FIG01009104_UPF0313_protein_RPA0679_	FIG01009104	UPF0313_protein_RPA0679_	0	0	0	2.2	0	9.3	0	0	0	0	0	0.013537699	0.262744719	-38.33333333
FIG01367513_Cytochrome_c_biogenesis_protein_	FIG01367513	Cytochrome_c_biogenesis_protein_	0	1.1	0	0	0	13.9	0	0	0	0	0	0.012111598	0.262744719	-50
FIG00515462_FIG00515463:_hypothetical_protein_	FIG00515462	FIG00515463:_hypothetical_protein_	5	10.6	67.4	8.8	45.5	1022.6	0	0	19.9	19.2	46.5	0.016150323	0.262744719	-11.29186137
FIG00815034_FIG00815037:_hypothetical_protein_	FIG00815034	FIG00815037:_hypothetical_protein_	0	2.1	10.2	0	0	283.5	0	0	0	4.1	0	0.004356175	0.262744719	-60.12195122
FIG00617448_33_kDa_chaperonin_	FIG00617448	33_kDa_chaperonin_	268.1	6.4	76.2	900.3	31.2	636.7	7395.8	1080.9	494.9	133.1	622.9	0.011907135	0.262744719	6.083235187
FIG00524941_FIG00524942:_hypothetical_protein_	FIG00524941	FIG00524942:_hypothetical_protein_	0	1.1	1.6	0	1.5	9.3	0	0	0	0	0	0.009248345	0.262744719	-45
FIG00514393_FIG00514397:_hypothetical_protein_	FIG00514393	FIG00514397:_hypothetical_protein_	1.7	1.1	1.6	0	0	4.6	0	0	0	0	0	0.010623912	0.262744719	-30
FIG00001969_Hypothetical_flavoprotein_YqcA_(clustered_with_tRNA_pseudouridine_synthase_C)_	FIG00001969	Hypothetical_flavoprotein_YqcA_(clustered_with_tRNA_pseudouridine_synthase_C)_	1.7	1.1	0	1.1	0	4.6	0	0	0	0	0	0.01141574	0.262744719	-28.33333333
FIG01008953_alginate_O-acetyltransferase_AlgJ_	FIG01008953	alginate_O-acetyltransferase_AlgJ_	0	1.1	5.5	0	0	567.1	0	0	0	12.3	6.2	0.011150429	0.262744719	-25.84234234
FIG01587740_protein_of_unknown_function_DUF34_	FIG01587740	protein_of_unknown_function_DUF34_	0	2.1	5.4	0	4.5	4.6	0	0	0	0	0	0.008086485	0.262744719	-55.33333333
"FIG01380957_Site-specific_recombinases,_DNA_invertase_Pin_homolog_"	FIG01380957	"Site-specific_recombinases,_DNA_invertase_Pin_homolog_"	0	0	0	0	26.1	120.9	0	0	0	1.4	0	0.003982788	0.262744719	-87.5
FIG00004529_N-acetylneuraminic_acid_outer_membrane_channel_protein_NanC_	FIG00004529	N-acetylneuraminic_acid_outer_membrane_channel_protein_NanC_	0	5.3	0	3.3	0	4.6	0	0	0	0	0	0.010449095	0.262744719	-44
FIG01304256_Proline-specific_permease_proY_	FIG01304256	Proline-specific_permease_proY_	1.7	0	0.8	0	0	13.9	0	0	0	0	0	0.009906562	0.262744719	-54.66666667
FIG01222345_Inner_membrane_protein_YiaH_	FIG01222345	Inner_membrane_protein_YiaH_	0	0	0	0	0.7	13.9	0	0	0	0	0	0.012112812	0.262744719	-48.66666667
"FIG01862975_abortive_infection_protein,_internal_deletion_"	FIG01862975	"abortive_infection_protein,_internal_deletion_"	6.7	9.5	88.5	0	329.9	190.6	4.5	0	27.8	8.2	3.1	0.014904243	0.262744719	-11.94954128
FIG00629645_phage_minor_structural_protein_	FIG00629645	phage_minor_structural_protein_	1.7	0	0	0	12.7	0	0	0	0	0	0	0.011788712	0.262744719	-48
"FIG00030505_PTS_system,_beta-glucoside-specific_IIB_component_(EC_2.7.1.69)_/_PTS_system,_beta-glucoside-specific_IIC_component_(EC_2.7.1.69)_"	FIG00030505	"PTS_system,_beta-glucoside-specific_IIB_component_(EC_2.7.1.69)_/_PTS_system,_beta-glucoside-specific_IIC_component_(EC_2.7.1.69)_"	0	0	23.5	0	3.7	172	0	0	0	0	0	0.000390159	0.262744719	-664
FIG00938846_FIG00938847:_hypothetical_protein_	FIG00938846	FIG00938847:_hypothetical_protein_	0	0	0.8	0	0.7	4.6	0	0	0	0	0	0.015122341	0.262744719	-20.33333333
FIG01770928_Chromosome_segregation_ATPases-like_protein_	FIG01770928	Chromosome_segregation_ATPases-like_protein_	3.3	0	0	1.1	0	9.3	0	7.8	0	0	238.6	0.0106755	0.262744719	21.58248175
FIG00002297_Putative_TEGT_family_carrier/transport_protein_	FIG00002297	Putative_TEGT_family_carrier/transport_protein_	6.7	1.1	0	4.4	0	0	0	0	0	0	0	0.011271407	0.262744719	-40.66666667
FIG00001630_Alpha-aspartyl_dipeptidase_Peptidase_E_(EC_3.4.13.21)_	FIG00001630	Alpha-aspartyl_dipeptidase_Peptidase_E_(EC_3.4.13.21)_	3.3	0	0.8	0	1.5	4.6	0	0	0	0	0	0.010084125	0.262744719	-34
"FIG00744297_Arsenate_reductase_and_related_proteins,_glutaredoxin_family_"	FIG00744297	"Arsenate_reductase_and_related_proteins,_glutaredoxin_family_"	0	0	0	0	0	0	0	0	2	0	6.2	0.006601271	0.262744719	32.8
"FIG00652759_Phosphoglycerol_transferase_and_related_proteins,alkaline_phosphatase_superfamily_(EC_2.7.8.20)_"	FIG00652759	"Phosphoglycerol_transferase_and_related_proteins,alkaline_phosphatase_superfamily_(EC_2.7.8.20)_"	0	178.9	0	0	0	0	0	0	2	0	0	0.006238475	0.262744719	-74.54166667
FIG01350126_Teicoplanin_resistance_protein_	FIG01350126	Teicoplanin_resistance_protein_	1.7	0	0	7.7	2.2	0	0	0	0	0	0	0.011205901	0.262744719	-38.66666667
FIG00516315_FIG00516317:_hypothetical_protein_	FIG00516315	FIG00516317:_hypothetical_protein_	0	0	0	1.1	3	9.2	0	0	0	0	0	0.010989721	0.262744719	-44.33333333
FIG00604818_FIG00604819:_hypothetical_protein_	FIG00604818	FIG00604819:_hypothetical_protein_	0	2.1	0	0	8.2	0	0	0	0	0	0	0.01412861	0.262744719	-34.33333333
FIG00105028_IncF_plasmid_conjugative_transfer_surface_exclusion_protein_TraS_	FIG00105028	IncF_plasmid_conjugative_transfer_surface_exclusion_protein_TraS_	0	0	0	3.3	0	9.3	0	0	0	0	0	0.012844506	0.262744719	-42
FIG00696935_FIG00696938:_hypothetical_protein_	FIG00696935	FIG00696938:_hypothetical_protein_	1.7	0	0	0	1.5	9.3	0	0	0	0	0	0.010847171	0.262744719	-41.66666667
FIG01590587_Ig_domain-containing_protein_	FIG01590587	Ig_domain-containing_protein_	0	0	0	0	0.7	9.3	0	0	0	0	0	0.014509108	0.262744719	-33.33333333
FIG00514809_FIG00514812:_hypothetical_protein_	FIG00514809	FIG00514812:_hypothetical_protein_	0	0	6.3	0	0.7	246.4	0	0	2	1.4	0	0.003948269	0.262744719	-62.10784314
FIG01378245_mobilization_protein_BmgB_	FIG01378245	mobilization_protein_BmgB_	0	0	1.6	0	5.9	190.6	0	0	0	0	0	0.000473578	0.262744719	-660.3333333
FIG01021980_Aspartate_aminotransferase_(EC_2.6.1.1)_/_Glutamine-dependent_2-keto-4-methylthiobutyrate_transaminase_	FIG01021980	Aspartate_aminotransferase_(EC_2.6.1.1)_/_Glutamine-dependent_2-keto-4-methylthiobutyrate_transaminase_	0	2.1	0	0	0	4.6	0	0	0	0	0	0.01681043	0.262744719	-22.33333333
FIG01032329_FIG01032330:_hypothetical_protein_	FIG01032329	FIG01032330:_hypothetical_protein_	0	0	0	0	0	0	13.5	2.6	0	1.4	21.7	0.001379112	0.262744719	156.8
FIG00774030_FIG00774031:_hypothetical_protein_	FIG00774030	FIG00774031:_hypothetical_protein_	11.7	0	3.2	14.3	0.7	32.4	210.9	157.7	0	8.3	124	0.015100909	0.262744719	9.648154093
FIG00138517_FIG138517:_Putative_lipid_carrier_protein_	FIG00138517	FIG138517:_Putative_lipid_carrier_protein_	3.3	1.1	0	3.3	0	4.6	0	0	0	0	0	0.00959712	0.262744719	-41
FIG01337812_ribulose-5-phosphate_4-epimerase_and_related_epimerases_and_aldolases_	FIG01337812	ribulose-5-phosphate_4-epimerase_and_related_epimerases_and_aldolases_	0	1.1	0	1.1	3.7	0	0	0	0	0	0	0.016410748	0.262744719	-19.66666667
FIG01639440_FIG00719351:_hypothetical_protein_	FIG01639440	FIG00719351:_hypothetical_protein_	0	0	3.9	0	0	9.3	0	0	0	0	0	0.012293351	0.262744719	-44
FIG01598167_FIG00645980:_hypothetical_protein_	FIG01598167	FIG00645980:_hypothetical_protein_	3.3	0	0	0	0	32.5	0	0	0	0	0	0.006981291	0.262744719	-119.3333333
FIG01420514_Protein_of_unknown_function_DUF815_	FIG01420514	Protein_of_unknown_function_DUF815_	0	0	2.3	0	0	218.5	0	0	2	1.4	0	0.006141126	0.262744719	-54.11764706
FIG00908067_FIG00908070:_hypothetical_protein_	FIG00908067	FIG00908070:_hypothetical_protein_	0	96.8	0	0	0	0	0	0	0	1.4	0	0.009806684	0.262744719	-57.61904762
FIG00004077_IgaA:_a_membrane_protein_that_prevents_overactivation_of_the_Rcs_regulatory_system_	FIG00004077	IgaA:_a_membrane_protein_that_prevents_overactivation_of_the_Rcs_regulatory_system_	3.3	2.1	0	1.1	0.7	18.6	0	0	0	0	0	0.005857556	0.262744719	-86
FIG00001946_Soluble_cytochrome_b562_	FIG00001946	Soluble_cytochrome_b562_	1.7	0	0	3.3	0	4.6	0	0	0	0	0	0.011998295	0.262744719	-32
FIG00905184_Putative_receptor_	FIG00905184	Putative_receptor_	3.3	0	0	0	0.7	4.6	0	0	0	0	0	0.012914579	0.262744719	-28.66666667
FIG00710286_FIG00710287:_hypothetical_protein_	FIG00710286	FIG00710287:_hypothetical_protein_	5	0	0	0	0	13.9	0	0	0	0	0	0.010191925	0.262744719	-63
FIG00026146_Di/tripeptide_permease_DtpA_	FIG00026146	Di/tripeptide_permease_DtpA_	0	1.1	0	3.3	0.7	4.6	0	0	0	0	0	0.010780578	0.262744719	-32.33333333
FIG01620721_Zinc_transporter_ZIP_	FIG01620721	Zinc_transporter_ZIP_	0	9.5	0	0	0	23.2	0	0	0	0	0	0.006990667	0.262744719	-109
FIG00517265_FIG00517267:_hypothetical_protein_	FIG00517265	FIG00517267:_hypothetical_protein_	0	0	3.1	0	0	23.2	0	0	0	0	0	0.00866375	0.262744719	-87.66666667
FIG00135535_CoB--CoM-reducing_hydrogenase_(Sec)_beta_subunit_	FIG00135535	CoB--CoM-reducing_hydrogenase_(Sec)_beta_subunit_	0	6.3	0	1.1	12.7	4.6	0	0	0	680.6	0	0.003385328	0.262744719	33.06558704
FIG01323010_Serine/threonine_protein_phosphatase_(EC_3.1.3.16)_	FIG01323010	Serine/threonine_protein_phosphatase_(EC_3.1.3.16)_	0	0	0	0	0	0	0	0	2	9.6	9.3	0.003065048	0.262744719	83.6
FIG00002842_FIG002842:_hypothetical_protein_	FIG00002842	FIG002842:_hypothetical_protein_	1.7	0	0	1.1	0	4.6	0	0	0	0	0	0.013801086	0.262744719	-24.66666667
FIG01364827_FIG00624796:_hypothetical_protein_	FIG01364827	FIG00624796:_hypothetical_protein_	0	0	0	0	0	0	4.5	12.9	0	1.4	0	0.003569117	0.262744719	75.2
FIG00002680_Uncharacterized_protein_YrbK_clustered_with_lipopolysaccharide_transporters_	FIG00002680	Uncharacterized_protein_YrbK_clustered_with_lipopolysaccharide_transporters_	0	0	0	4.4	0.7	9.3	0	0	0	0	0	0.010543125	0.262744719	-48
FIG01230784_FIG01230787:_hypothetical_protein_	FIG01230784	FIG01230787:_hypothetical_protein_	0	0	2.4	0	3	18.6	0	0	0	0	0	0.00790532	0.262744719	-80
FIG01319802_hypothetical_protein;_Some_similarities_with_putative_membrane_protein_YbjC_of_Escherichia_coli_	FIG01319802	hypothetical_protein;_Some_similarities_with_putative_membrane_protein_YbjC_of_Escherichia_coli_	0	1.1	0	0	0	9.3	0	0	0	0	0	0.014508355	0.262744719	-34.66666667
FIG00750403_FIG00750410:_hypothetical_protein_	FIG00750403	FIG00750410:_hypothetical_protein_	0	0	0.8	0	0.7	0	4.5	0	121.2	20.6	0	0.001331975	0.262744719	117.04
