FIGFAMID,Level1,Level2,Level3,function
FIG00000149,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Phosphoserine___phosphatase
FIG00000149,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Serine_Biosynthesis,Phosphoserine___phosphatase
FIG00000157,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,2-isopropylmalate___synthase
FIG00000157,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Biosynthesis,2-isopropylmalate___synthase
FIG00000212,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Chorismate___synthase
FIG00000212,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),Chorismate___synthase
FIG00000224,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,3-dehydroquinate___synthase
FIG00000224,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),3-dehydroquinate___synthase
FIG00000244,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,Ketol-acid___reductoisomerase
FIG00000250,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_degradation,L-lysine___permease
FIG00000256,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Shikimate___kinase___I
FIG00000256,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Shikimate___kinase___III
FIG00000256,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),Shikimate___kinase___I
FIG00000256,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),Shikimate___kinase___III
FIG00000258,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Imidazole___glycerol___phosphate___synthase___cyclase___subunit
FIG00000280,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,3-isopropylmalate___dehydratase___large___subunit
FIG00000280,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Biosynthesis,3-isopropylmalate___dehydratase___large___subunit
FIG00000282,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,3-isopropylmalate___dehydratase___small___subunit
FIG00000282,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Biosynthesis,3-isopropylmalate___dehydratase___small___subunit
FIG00000296,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Glycine___cleavage___system___H___protein
FIG00000296,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Glycine___cleavage___system___H___protein
FIG00000301,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,Argininosuccinate___synthase
FIG00000303,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Histidinol___dehydrogenase
FIG00000329,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,S-adenosylmethionine___synthetase
FIG00000329,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,S-adenosylmethionine___synthetase
FIG00000333,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,Argininosuccinate___lyase
FIG00000341,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,3-isopropylmalate___dehydrogenase
FIG00000341,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Biosynthesis,3-isopropylmalate___dehydrogenase
FIG00000347,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,Dihydrodipicolinate___reductase
FIG00000351,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline_Synthesis,Glutamate___5-kinase
FIG00000358,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,N-acetyl-gamma-glutamyl-phosphate___reductase
FIG00000365,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline_Synthesis,Gamma-glutamyl___phosphate___reductase
FIG00000376,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,L-asparaginase
FIG00000383,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,Acetylglutamate___kinase
FIG00000383,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,N-acetylglutamate___synthase
FIG00000397,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Glutamate___racemase
FIG00000421,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,Diaminopimelate___epimerase
FIG00000430,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,3-dehydroquinate___dehydratase___II
FIG00000430,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),3-dehydroquinate___dehydratase___II
FIG00000433,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,Acetolactate___synthase___small___subunit
FIG00000434,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Homoserine___dehydrogenase
FIG00000434,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Homoserine___dehydrogenase
FIG00000443,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,5'-methylthioadenosine___nucleosidase
FIG00000443,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Salvage,5'-methylthioadenosine___nucleosidase
FIG00000445,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Phosphoserine___aminotransferase
FIG00000445,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Serine_Biosynthesis,Phosphoserine___aminotransferase
FIG00000453,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,5-comma10-methylenetetrahydrofolate___reductase
FIG00000456,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Glycerate___kinase
FIG00000474,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Histidinol-phosphate___aminotransferase
FIG00000522,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_anaerobic_catabolism_gene_cluster,Phosphate___acetyltransferase
FIG00000551,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,L-serine___dehydratase
FIG00000582,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Homoserine___kinase
FIG00000582,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_and_Homoserine_Biosynthesis,Homoserine___kinase
FIG00000601,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Imidazoleglycerol-phosphate___dehydratase
FIG00000614,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Ornithine___cyclodeaminase
FIG00000642,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Spermidine___synthase
FIG00000660,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cystathionine___gamma-synthase
FIG00000672,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,5-methyltetrahydrofolate--homocysteine___methyltransferase
FIG00000672,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Homocysteine___S-methyltransferase
FIG00000679,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_Biosynthesis,Low-specificity___L-threonine___aldolase
FIG00000679,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_degradation,Low-specificity___L-threonine___aldolase
FIG00000683,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,5-methyltetrahydropteroyltriglutamate--homocysteine___methyltransferase
FIG00000708,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics-comma_PABA-comma_anthranilate-comma_3-hydroxyanthranilate_and_more,Aminodeoxychorismate___lyase
FIG00000716,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Homoserine___O-acetyltransferase
FIG00000721,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_anaerobic_catabolism_gene_cluster,Pyruvate___formate-lyase___activating___enzyme
FIG00000728,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Sulfate___adenylyltransferase___subunit___2
FIG00000741,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,2-amino-3-ketobutyrate___coenzyme___A___ligase
FIG00000741,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_Biosynthesis,2-amino-3-ketobutyrate___coenzyme___A___ligase
FIG00000762,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Carbamate___kinase
FIG00000762,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Deiminase_Pathway,Carbamate___kinase
FIG00000762,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Carbamate___kinase
FIG00000811,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,ATP___phosphoribosyltransferase
FIG00000811,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,ATP___phosphoribosyltransferase___catalytic___subunit
FIG00000821,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Adenylylsulfate___kinase
FIG00000841,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG00000841,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG00000841,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,Dihydrolipoamide___dehydrogenase___of___branched-chain___alpha-keto___acid___dehydrogenase
FIG00000845,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,S-ribosylhomocysteine___lyase
FIG00000845,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,S-ribosylhomocysteine___lyase
FIG00000847,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urea___carboxylase
FIG00000858,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Adenosylhomocysteinase
FIG00000858,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Adenosylhomocysteinase
FIG00000865,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,ATP___phosphoribosyltransferase___regulatory___subunit
FIG00000871,Amino___Acids___and___Derivatives,Histidine___Metabolism,Histidine_Biosynthesis,Phosphoribosyl-ATP___pyrophosphatase
FIG00000908,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,2-comma3-comma4-comma5-tetrahydropyridine-2-comma6-dicarboxylate___N-succinyltransferase
FIG00000951,Amino___Acids___and___Derivatives,Proline___and___4-hydroxyproline,Proline-comma_4-hydroxyproline_uptake_and_utilization,Proline___iminopeptidase
FIG00000959,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Putrescine___transport___ATP-binding___protein___PotA___(TC___3
FIG00000959,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Sulfate___and___thiosulfate___import___ATP-binding___protein___CysA
FIG00000963,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,HMG_CoA_Synthesis,Hydroxymethylglutaryl-CoA___lyase
FIG00000963,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Hydroxymethylglutaryl-CoA___lyase
FIG00001000,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Sulfate___and___thiosulfate___binding___protein___CysP
FIG00001001,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urease___accessory___protein___UreG
FIG00001004,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Threonine___dehydratase-comma___catabolic
FIG00001004,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,Threonine___dehydratase
FIG00001004,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,Threonine___dehydratase___biosynthetic
FIG00001004,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Branched-Chain_Amino_Acid_Biosynthesis,Threonine___dehydratase-comma___catabolic
FIG00001004,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_anaerobic_catabolism_gene_cluster,Threonine___dehydratase-comma___catabolic
FIG00001004,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_degradation,Threonine___dehydratase
FIG00001004,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Threonine_degradation,Threonine___dehydratase-comma___catabolic
FIG00001042,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urease___beta___subunit
FIG00001042,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urease___gamma___subunit
FIG00001062,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Agmatine___deiminase
FIG00001062,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Agmatine___deiminase
FIG00001094,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Aromatic_amino_acid_interconversions_with_aryl_acids,Phenylacetate-coenzyme___A___ligase
FIG00001104,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Arginine___deiminase
FIG00001104,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Deiminase_Pathway,Arginine___deiminase
FIG00001106,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Homoserine___O-succinyltransferase
FIG00001113,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urease___accessory___protein___UreD
FIG00001124,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Arginine___ABC___transporter-comma___periplasmic___arginine-binding___protein___ArtI
FIG00001136,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urease___accessory___protein___UreE
FIG00001166,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Arginine/ornithine___antiporter___ArcD
FIG00001166,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Deiminase_Pathway,Arginine/ornithine___antiporter___ArcD
FIG00001166,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Arginine/ornithine___antiporter___ArcD
FIG00001168,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Ornithine___aminotransferase
FIG00001168,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Succinylornithine___transaminase
FIG00001168,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,Acetylornithine___aminotransferase
FIG00001170,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,3-dehydroquinate___dehydratase___I
FIG00001170,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),3-dehydroquinate___dehydratase___I
FIG00001174,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Glutaminase
FIG00001206,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_Biosynthesis_extended,N-acetylglutamate___synthase
FIG00001269,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Pyruvate-flavodoxin___oxidoreductase
FIG00001346,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,Cystathionine___gamma-lyase
FIG00001346,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Cysteine_Biosynthesis,Cystathionine___gamma-lyase
FIG00001346,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,Cystathionine___gamma-lyase
FIG00001346,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Cystathionine___gamma-lyase
FIG00001355,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Spermidine___N1-acetyltransferase
FIG00001378,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,N-carbamoylputrescine___amidase___(3
FIG00001378,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,N-carbamoylputrescine___amidase___(3
FIG00001384,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,N-acetyl-L-commaL-diaminopimelate___deacetylase
FIG00001406,Amino___Acids___and___Derivatives,Glutamine-comma___glutamate-comma___aspartate-comma___asparagine;___ammonia___assimilation,Glutamine-comma_Glutamate-comma_Aspartate_and_Asparagine_Biosynthesis,Aspartate--ammonia___ligase
FIG00001440,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,L-serine___dehydratase
FIG00001440,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,L-serine___dehydratase-comma___alpha___subunit
FIG00001450,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Leucine_Degradation_and_HMG-CoA_Metabolism,Hydroxymethylglutaryl-CoA___reductase
FIG00001494,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Salvage,Methylthioribose-1-phosphate___isomerase
FIG00001498,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Chorismate___mutase___I
FIG00001498,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Chorismate___mutase___I
FIG00001524,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Aromatic_amino_acid_degradation,Kynurenine___formamidase-comma___bacterial
FIG00001558,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Isoleucine_degradation,3-hydroxyacyl-CoA___dehydrogenase
FIG00001558,Amino___Acids___and___Derivatives,Branched-chain___amino___acids,Valine_degradation,3-hydroxyacyl-CoA___dehydrogenase
FIG00001578,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_cleavage_system,Glycine___cleavage___system___transcriptional___antiactivator___GcvR
FIG00001604,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Arginine_and_Ornithine_Degradation,Ornithine___decarboxylase
FIG00001604,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Polyamine_Metabolism,Ornithine___decarboxylase
FIG00001636,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,2-comma3-comma4-comma5-tetrahydropyridine-2-comma6-dicarboxylate___N-acetyltransferase
FIG00001642,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Alanine___racemase
FIG00001642,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Alanine___racemase-comma___biosynthetic
FIG00001642,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Alanine_biosynthesis,Alanine___racemase-comma___catabolic
FIG00001695,Amino___Acids___and___Derivatives,Alanine-comma___serine-comma___and___glycine,Glycine_and_Serine_Utilization,D-serine___dehydratase
FIG00001821,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Lysine_Biosynthesis_DAP_Pathway,2-comma3-comma4-comma5-tetrahydropyridine-2-comma6-dicarboxylate___N-acetyltransferase
FIG00001997,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Biosynthesis,O-acetylhomoserine___sulfhydrylase
FIG00001997,Amino___Acids___and___Derivatives,Lysine-comma___threonine-comma___methionine-comma___and___cysteine,Methionine_Degradation,Methionine___gamma-lyase
FIG00002036,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,Chorismate___mutase___II
FIG00002036,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Phenylalanine_and_Tyrosine_Branches_from_Chorismate,Chorismate___mutase___II
FIG00002050,Amino___Acids___and___Derivatives,Arginine;___urea___cycle-comma___polyamines,Urea_decomposition,Urease___alpha___subunit
FIG00002110,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Chorismate_Synthesis,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate___synthase___I___alpha
FIG00002110,Amino___Acids___and___Derivatives,Aromatic___amino___acids___and___derivatives,Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate___synthase___I___alpha
