FigFam	description	X188.non.day.5	X190.non.day.5	X191.non.day.5	X193.non.day.5	X196.non.day.5	X197.non.day.5	X187.carb.day.5	X189.carb.day.5	X192.carb.day.5	X194.carb.day.5	X195.carb.day.5	X198.carb.day.5	Pvalues	Qvalues	fold_change	
FIG00534448_FIG00534450:_hypothetical_protein_	FIG00534448	FIG00534450:_hypothetical_protein_	4.2	0.3	1	1.6	0	0	2.8	2.5	2.1	0	0	0	0.999999948	0.980600559	1.042253521
FIG01176834_Sugar_ABC_transporter_permease_	FIG01176834	Sugar_ABC_transporter_permease_	122.7	215.2	86.9	41.9	67.6	13.5	124.2	45.7	124.8	56.8	32.5	96.9	0.779183767	0.966524178	-1.139114161
FIG00653727_Sialic_acid-specific_9-O-acetylesterase_	FIG00653727	Sialic_acid-specific_9-O-acetylesterase_	176.2	61.1	222.8	562.6	116.3	88.9	252.9	172	303	462.4	131.4	173.6	0.6438578	0.959830521	1.217770177
FIG00732172_Antirestriction_protein_ArdA_	FIG00732172	Antirestriction_protein_ArdA_	0	0.7	1	0	0	0.4	0	1.6	0.7	1.8	1.7	0	0.22902262	0.922627079	2.761904762
FIG00140689_low-specificity_D-threonine_aldolase_	FIG00140689	low-specificity_D-threonine_aldolase_	1.6	4.1	1	0.8	0	0	0.7	1.6	6.4	1.8	0	0	0.729252371	0.966027879	1.4
FIG01304793_Cell_division_protein_FtsJ_/_Ribosomal_RNA_large_subunit_methyltransferase_J_(EC_2.1.1.-)_	FIG01304793	Cell_division_protein_FtsJ_/_Ribosomal_RNA_large_subunit_methyltransferase_J_(EC_2.1.1.-)_	16.4	103.8	49	104.2	174.3	45.7	158.4	47.4	247.2	308.2	49.9	200.2	0.135346754	0.874557451	2.049655452
FIG00851983_FIG00852003:_hypothetical_protein_	FIG00851983	FIG00852003:_hypothetical_protein_	0	0.7	1	0	0	1.8	0	2.5	1.4	3.7	0	1.4	0.477277018	0.943069661	2.571428571
FIG00005489_Ethanolamine_utilization_protein_EutQ_	FIG00005489	Ethanolamine_utilization_protein_EutQ_	27.6	4.4	27	10.1	16	8	33.6	11.5	11.4	69.7	15.8	6.4	0.416948621	0.938759378	1.593984962
FIG00000877_Formate--tetrahydrofolate_ligase_(EC_6.3.4.3)_	FIG00000877	Formate--tetrahydrofolate_ligase_(EC_6.3.4.3)_	12136	4236	9649.4	5783.9	2957.4	2212	6941.1	6707.8	10128.8	7881.3	4455.4	4572.5	0.767620961	0.966524178	1.100398381
FIG00002610_21_kDa_hemolysin_precursor_	FIG00002610	21_kDa_hemolysin_precursor_	0	0.7	6	3.9	0	0	0	0	0	7.3	1.7	0	0.843745445	0.972143142	-1.177777778
FIG00470457_FIG00470458:_hypothetical_protein_	FIG00470457	FIG00470458:_hypothetical_protein_	0	0	9	0	0	0	1.4	4.1	10.6	0	0	0	0.587145705	0.949650426	1.788888889
FIG01321772_contains_MutT-like_domain_	FIG01321772	contains_MutT-like_domain_	0	0	0	6.2	1.1	0	0	0	0	0	0	0	0.009821471	0.358196883	-24.33333333
FIG00001803_Polyferredoxin_NapH_(periplasmic_nitrate_reductase)_	FIG00001803	Polyferredoxin_NapH_(periplasmic_nitrate_reductase)_	70.6	154.7	176.7	187.8	109.8	113.2	14	99.8	512.3	95.5	130.7	119.8	0.701519206	0.965110093	1.195989173
FIG00673419_Alpha-ribazole-5'-phosphate_phosphatase_	FIG00673419	Alpha-ribazole-5'-phosphate_phosphatase_	21.8	6.8	5	28	6.4	3.1	23.7	18.8	12	29.3	4.2	25.9	0.424832309	0.939136389	1.601969058
FIG00052681_Sulfopyruvate_decarboxylase_-_alpha_subunit_(EC_4.1.1.79)_	FIG00052681	Sulfopyruvate_decarboxylase_-_alpha_subunit_(EC_4.1.1.79)_	4.9	12.9	11	0.8	1.1	5.8	2.1	4.1	7.1	11	5	7.9	1	0.980600559	1.019178082
FIG00513311_Uxu_operon_regulator_	FIG00513311	Uxu_operon_regulator_	0	3	2	1.6	2.1	11.2	2.1	0	0	3.7	0.8	7.2	0.678256108	0.963706797	-1.442028986
FIG00496660_Glycosyl_transferase_	FIG00496660	Glycosyl_transferase_	3.7	1	0	0	2.1	1.7	0.7	0	0.7	9.2	1.6	7.9	0.340020918	0.928452314	2.364705882
FIG01298444_LSU_ribosomal_protein_L22e_	FIG01298444	LSU_ribosomal_protein_L22e_	3.7	151	2061.6	230.5	155.2	35.9	154.2	316.6	615.7	772.5	78.3	311.3	0.791617789	0.966796517	-1.173129948
FIG00010454_Tricarboxylate_transport_membrane_protein_TctA_	FIG00010454	Tricarboxylate_transport_membrane_protein_TctA_	111.9	421.5	238.9	313.8	302.3	198.1	515.4	150.3	969.1	926.5	130.6	560.1	0.087452002	0.817523933	2.049795147
FIG00229247_Urea_carboxylase_(EC_6.3.4.6)_	FIG00229247	Urea_carboxylase_(EC_6.3.4.6)_	0.5	0	1	7.8	3.2	0	0	0	0.7	1.8	1.7	0	0.387025683	0.934455986	-2.976190476
FIG00553098_FIG00553100:_hypothetical_protein_	FIG00553098	FIG00553100:_hypothetical_protein_	1.1	0.3	9	24.9	1.1	0	2.8	2.4	5	1.8	1.7	0	0.287889988	0.926802039	-2.656934307
FIG01364573_FIG030830:_Hypothetical_protein_	FIG01364573	FIG030830:_Hypothetical_protein_	0.5	0	1	9.3	2.1	0	8.4	0.8	0	1.8	1.7	0	0.933098184	0.977538546	-1.015748031
FIG00104354_Ribonuclease_P_protein_component_4_(EC_3.1.26.5)_	FIG00104354	Ribonuclease_P_protein_component_4_(EC_3.1.26.5)_	47.3	71.7	171.6	30.3	25.4	42.5	25.1	24.6	80	47.6	40.8	43.8	0.418246075	0.938759378	-1.484536082
FIG00035759_Sulfite_reduction-associated_complex_DsrMKJOP_protein_DsrK_(=HmeD)_	FIG00035759	Sulfite_reduction-associated_complex_DsrMKJOP_protein_DsrK_(=HmeD)_	41	18.9	73	4.7	5.5	17.7	16.8	51.5	26.3	12.8	8.4	129.7	0.477725075	0.943069661	1.526741294
FIG01433372_Small_HspC2_heat_shock_protein_	FIG01433372	Small_HspC2_heat_shock_protein_	205.5	261.9	26	12.4	85.5	115.1	237.9	215.9	355	67.9	79.1	160.7	0.346363447	0.928461525	1.580549264
FIG01669108_probable_methyl-accepting_chemotaxis_protein_	FIG01669108	probable_methyl-accepting_chemotaxis_protein_	4.8	0	46.9	10.1	39.1	0	11.9	22	64.5	11	37.4	0	0.628908166	0.956435086	1.454905847
FIG01353788_Hydrolases_of_the_alpha/beta_superfamily_	FIG01353788	Hydrolases_of_the_alpha/beta_superfamily_	125.8	20.9	96.9	182.3	99.2	40.5	87.2	94.8	153.8	185.3	96.6	99.8	0.580741627	0.948316823	1.268564356
"FIG00016286_Ribosyl_nicotinamide_transporter,_PnuC-like_"	FIG00016286	"Ribosyl_nicotinamide_transporter,_PnuC-like_"	6.4	8.1	38	24.9	9.6	12	36.4	20.4	50.8	9.1	12.5	20.9	0.460559637	0.941360429	1.516161616
FIG01357381_putative_universal_stress_protein_	FIG01357381	putative_universal_stress_protein_	0	0	3	0.8	1.1	0.4	0	1.6	0	0	0	0.7	0.62549671	0.955176156	-2.304347826
FIG00019240_Chemotaxis_response_-_phosphatase_CheZ_	FIG00019240	Chemotaxis_response_-_phosphatase_CheZ_	18	15.9	27	0.8	19	1.3	4.2	14.7	12.8	69.7	25	1.4	0.510431619	0.943069661	1.558536585
FIG01376039_FIG00899379:_hypothetical_protein_	FIG01376039	FIG00899379:_hypothetical_protein_	54.2	28.7	211.7	107.9	52.8	89.1	136.1	117.8	252.3	51.4	52.5	78.2	0.609641626	0.953915803	1.2643277
FIG00515497_ABC_transporter_amino_acid-binding_protein_/_Amino_acid_ABC_transporter_permease_protein_	FIG00515497	ABC_transporter_amino_acid-binding_protein_/_Amino_acid_ABC_transporter_permease_protein_	43.5	16.9	81.9	20.9	10.6	9.7	16.1	22	69.4	42.1	15.7	35.9	0.875033541	0.973775459	1.096457766
FIG01370934_Putative_mannosyltransferase_involved_in_polysaccharide_biosynthesis_	FIG01370934	Putative_mannosyltransferase_involved_in_polysaccharide_biosynthesis_	22.7	42.5	27	9.4	6.4	12.5	60.7	24.5	14.1	99.1	49.1	16.4	0.14890165	0.888374072	2.190041494
"FIG00009775_Glycosyl_transferase,_group_1_family_protein_"	FIG00009775	"Glycosyl_transferase,_group_1_family_protein_"	385	143.4	391.5	626.3	179.6	67.2	514.3	422.9	886.5	487.9	370.6	150.6	0.270318907	0.926802039	1.579921919
FIG00405640_COG5434_Endopygalactorunase_	FIG00405640	COG5434_Endopygalactorunase_	20.1	5	126.8	45	2.1	0.4	137.5	9.8	27.7	14.6	242.3	15	0.261965841	0.926304927	2.241223671
FIG01114629_FIG01117806:_hypothetical_protein_	FIG01114629	FIG01117806:_hypothetical_protein_	49.9	23.9	8	24.8	11.7	3	8.4	18.7	32.5	121	5.9	18.6	0.391230423	0.934455986	1.690849134
FIG00043657_Replication_factor_C_large_subunit_	FIG00043657	Replication_factor_C_large_subunit_	29.1	89.8	132.8	121.1	44.4	80.4	78.2	39.2	323.2	102.7	71.7	48.8	0.53280813	0.943069661	1.334003215
FIG00021845_Septum_formation_protein_Maf_	FIG00021845	Septum_formation_protein_Maf_	1957.9	507.7	2216.9	1506.4	497.4	648.1	2080.9	1035.1	1473.7	1191.6	1219.2	693.6	0.891920743	0.974186459	1.049042866
FIG00598409_Mannose-6-phosphate_isomerase_(EC_5.3.1.8)_	FIG00598409	Mannose-6-phosphate_isomerase_(EC_5.3.1.8)_	5746.9	871.1	2099.5	2387.1	772.3	1163.1	2417.6	3902.1	2710.9	2221.2	3018.6	920.8	0.675305432	0.963706797	1.164969325
"FIG00057120_COG1293,_Predicted_RNA-binding_protein_homologous_to_eukaryotic_snRNP_"	FIG00057120	"COG1293,_Predicted_RNA-binding_protein_homologous_to_eukaryotic_snRNP_"	20.2	55.5	62.9	78.4	40.2	48	52.4	29.3	258.4	44	35	41.7	0.402838641	0.934455986	1.50982962
FIG00517483_Lipopolysaccharide_biosynthesis_protein_	FIG00517483	Lipopolysaccharide_biosynthesis_protein_	2.1	11.5	0	1.6	0	0.4	1.4	2.5	7.8	5.5	1.7	1.4	0.797601634	0.967658856	1.301282051
"FIG01331348_Peptidase,_M20A_family_"	FIG01331348	"Peptidase,_M20A_family_"	9.6	6.1	9	7	3.2	0.4	4.9	2.4	2.1	1.8	2.5	9.3	0.525716999	0.943069661	-1.534782609
FIG00002620_Tyrosine-protein_kinase_transmembrane_modulator_EpsC_	FIG00002620	Tyrosine-protein_kinase_transmembrane_modulator_EpsC_	39.2	13.9	91	26.4	55.1	10.6	80.4	68.6	107	78.8	42.4	32.2	0.259885117	0.926304927	1.733276884
FIG01691690_Negative_regulator_of_genetic_competence_sporulation_and_motility-like_	FIG01691690	Negative_regulator_of_genetic_competence_sporulation_and_motility-like_	8	4.1	1	7	1.1	0.4	9.1	8.2	80.8	22	0	0.7	0.040248786	0.683561891	5.592592593
FIG00937668_Similar_to_glycogen_synthase_(EC_2.4.1.21)_	FIG00937668	Similar_to_glycogen_synthase_(EC_2.4.1.21)_	2090.5	947.5	2935.3	2696.5	674.8	594.3	1898.8	1726.1	2715	2913.8	1632.8	804.3	0.647429221	0.960237988	1.176266991
FIG01608665_FIG01054838:_hypothetical_protein_	FIG01608665	FIG01054838:_hypothetical_protein_	1.1	0	1	0	1.1	0	0.7	1.6	0.7	0	0	0	0.77548988	0.966524178	-1.066666667
FIG01821000_FIG00892470:_hypothetical_protein_	FIG01821000	FIG00892470:_hypothetical_protein_	34.5	1.4	2	1.6	15.8	0.9	16.7	8.2	8.5	25.7	1.7	0.7	0.888814945	0.973901305	1.09430605
"FIG00054476_archaeal_ATPase,_fused_to_C-terminal_DUF234_domain_"	FIG00054476	"archaeal_ATPase,_fused_to_C-terminal_DUF234_domain_"	418.5	387	323.9	623.7	290.9	198.3	558.6	240.3	869.9	579.4	435.5	541.3	0.311066183	0.926802039	1.438255363
FIG00896978_FIG00896979:_hypothetical_protein_	FIG00896978	FIG00896979:_hypothetical_protein_	2.1	4.4	17	17.8	0	1.3	9.8	9.8	9.9	9.2	4.2	2.2	0.923777327	0.975418626	1.058685446
FIG00520086_FIG00520088:_hypothetical_protein_	FIG00520086	FIG00520088:_hypothetical_protein_	1	0.3	1	5.5	1.1	0	1.4	2.5	5.7	14.7	0	0	0.298832176	0.926802039	2.730337079
FIG01124301_Arsenical_resistance_operon_repressor_	FIG01124301	Arsenical_resistance_operon_repressor_	34.5	13.5	39	28.8	27.5	13.7	34.2	26.1	90.6	32.8	31.6	6.4	0.509518936	0.943069661	1.412101911
FIG01750893_membrane_associated_protein_	FIG01750893	membrane_associated_protein_	6.3	11.5	1468.6	2.4	3.2	0	3.5	7.4	185.6	12.9	5	6.4	0.059619293	0.762568606	-6.757246377
FIG01054901_Flagellar_hook-associated_protein_fliD_	FIG01054901	Flagellar_hook-associated_protein_fliD_	27.6	1	6	64.4	22.2	0.4	1.4	44.2	157.3	58.7	71.7	14.4	0.143401963	0.884614361	2.859375
FIG00518646_FIG00518648:_hypothetical_protein_	FIG00518646	FIG00518648:_hypothetical_protein_	0	0.3	0	1.6	0	0	4.2	0	0.7	7.3	0.8	1.4	0.074235328	0.790153843	7.578947368
"FIG01337732_cytochrome_c_oxidase,_subunit_IV_"	FIG01337732	"cytochrome_c_oxidase,_subunit_IV_"	1.1	0.3	0	0	0	0.4	0.7	0.8	0.7	1.8	1.7	0.7	0.054259373	0.734139562	3.555555556
FIG00000433_Acetolactate_synthase_small_subunit_(EC_2.2.1.6)_	FIG00000433	Acetolactate_synthase_small_subunit_(EC_2.2.1.6)_	1156.8	640	3164.4	2470.4	731.2	1721.2	1143	1129.4	2124.5	2027.4	1209.9	1478.6	0.811292003	0.971339509	-1.084628215
"FIG01953929_2-oxoglutarate_oxidoreductase,_gamma_subunit_(EC_1.2.7.3)_"	FIG01953929	"2-oxoglutarate_oxidoreductase,_gamma_subunit_(EC_1.2.7.3)_"	285.4	231.2	1720.4	226.1	253.6	133	296.1	388.1	1063.6	948.4	403.9	392.6	0.640638271	0.95824983	1.225637786
FIG00052980_ATP-dependent_DNA_ligase_(EC_6.5.1.1)_	FIG00052980	ATP-dependent_DNA_ligase_(EC_6.5.1.1)_	13.2	28.1	42	11.7	10.6	19.8	11.9	8.2	64.6	20.1	20	10.8	0.88878169	0.973901305	1.081339713
FIG01639059_FIG00574812:_hypothetical_protein_	FIG01639059	FIG00574812:_hypothetical_protein_	9	68.7	78	123.3	9.5	17	54.4	64.6	109.1	60.5	83.2	19.3	0.639859218	0.958137511	1.280196399
FIG01955857_Sensor_protein_of_zinc_sigma-54-dependent_two-component_system_	FIG01955857	Sensor_protein_of_zinc_sigma-54-dependent_two-component_system_	35.5	194.7	580.1	277.8	256.7	293.8	531.3	229.8	728.8	222	292.2	53.6	0.611491969	0.953915803	1.255767118
FIG01386350_Pyrrolo-quinoline_quinone_	FIG01386350	Pyrrolo-quinoline_quinone_	0	0	5	0	0	0.4	0.7	0	2.1	0	0	0	0.648726678	0.960237988	-1.928571429
FIG01352018_Putative_ATP/GTP-binding_protein_	FIG01352018	Putative_ATP/GTP-binding_protein_	12.7	12.5	13	15.5	25.3	17.5	2.1	6.5	46.1	20.2	9.2	16.5	0.971708514	0.980600559	1.042487047
"FIG01299028_Ubiquinol-cytochrome-c_reductase_complex_core_protein_2,_mitochondrial_precursor_(EC_1.10.2.2)_"	FIG01299028	"Ubiquinol-cytochrome-c_reductase_complex_core_protein_2,_mitochondrial_precursor_(EC_1.10.2.2)_"	0	21	0	33.4	0	0	0	1.6	0.7	0	0	0	0.017603899	0.465262622	-23.65217391
FIG00501776_FIG00501779:_hypothetical_protein_	FIG00501776	FIG00501779:_hypothetical_protein_	0	0	1	0	0	0	50.2	0	0	0	0	0	0.008602095	0.348233651	50.2
FIG00091940_Histidine_ammonia-lyase_(EC_4.3.1.3)_	FIG00091940	Histidine_ammonia-lyase_(EC_4.3.1.3)_	1011.4	436.8	3721.3	1006.9	607.5	657.3	1018.6	635.6	1529.7	913.4	710.9	1181.5	0.564113986	0.944942322	-1.242332671
FIG01020046_FIG01020048:_hypothetical_protein_	FIG01020046	FIG01020048:_hypothetical_protein_	296.8	117.6	202.8	91.8	88.7	56	37.8	91.5	172.2	152.1	92.4	60.1	0.426723421	0.939136389	-1.408513447
FIG00496393_MscS_Mechanosensitive_ion_channel_	FIG00496393	MscS_Mechanosensitive_ion_channel_	20.7	0.7	32.9	40.3	0	0.8	32.1	8.2	9.2	0	9.1	1.4	0.538575866	0.943069661	-1.59
FIG00005992_Gamma-glutamyltranspeptidase_(EC_2.3.2.2)_	FIG00005992	Gamma-glutamyltranspeptidase_(EC_2.3.2.2)_	95	139.6	97	233.5	196.4	68	520	148.8	445.6	451.3	70.8	174.2	0.072769176	0.790153843	2.182881254
FIG01321942_FIG00411552:_hypothetical_protein_	FIG01321942	FIG00411552:_hypothetical_protein_	0.5	3	2	16.4	0	0.9	8.4	2.4	14.9	0	2.5	0.7	0.78126547	0.966524178	1.26754386
FIG00149013_CRISPR-associated_protein_TM1812_	FIG00149013	CRISPR-associated_protein_TM1812_	8	0	8	2.3	3.2	0.9	1.4	3.3	0.7	0	10	0	0.658952147	0.9609711	-1.454545455
FIG00229290_Acyl_carrier_protein_(ACP1)_	FIG00229290	Acyl_carrier_protein_(ACP1)_	1.1	32.1	1076.2	442.2	33.8	268.5	9.1	10.6	283.4	166.9	74.9	184.4	0.17477378	0.901510162	-2.542026601
"FIG00086220_Oligo-1,6-glucosidase_(EC_3.2.1.10)_"	FIG00086220	"Oligo-1,6-glucosidase_(EC_3.2.1.10)_"	57.9	56.2	68	86.3	78.4	40.8	66.4	38.2	98.6	152	85	107.5	0.412910853	0.937695805	1.413054696
FIG01593382_FIG01235059:_hypothetical_protein_	FIG01593382	FIG01235059:_hypothetical_protein_	8.5	11.8	47.9	35.7	3.2	17.1	72.6	54.7	19.1	9.1	20	15.7	0.443543388	0.939741418	1.539452496
FIG00938205_FIG00403149:_hypothetical_protein_	FIG00938205	FIG00403149:_hypothetical_protein_	21.3	8.4	47.9	24.1	6.4	5.8	23.7	31.1	48.2	7.3	29.1	4.3	0.68394511	0.964139669	1.261633011
FIG00628421_FIG00628423:_hypothetical_protein_	FIG00628421	FIG00628423:_hypothetical_protein_	6.4	6.4	3	7	0	0.4	2.1	3.3	3.5	5.5	3.3	3.6	1	0.980600559	-1.089201878
FIG01304805_Carboxynorspermidine_decarboxylase_	FIG01304805	Carboxynorspermidine_decarboxylase_	6.4	7.8	13	10.1	17.9	0.9	0	0	44.6	12.8	5	15.8	0.643174732	0.959440719	1.393939394
FIG00009641_Negative_regulator_of_flagellin_synthesis_	FIG00009641	Negative_regulator_of_flagellin_synthesis_	232.5	33.2	88.9	22.5	49.7	9.2	33.5	86.7	99.1	53.1	64.9	60.9	0.863147737	0.973754377	-1.094927172
FIG01366659_Superfamily_II_DNA_and_RNA_helicase_	FIG01366659	Superfamily_II_DNA_and_RNA_helicase_	9.5	4.3	140.8	74.7	259.8	7.9	19.6	15.5	381.8	7.2	17.4	5.7	0.881581517	0.973775459	-1.111359571
FIG00938363_FIG00404494:_hypothetical_protein_	FIG00938363	FIG00404494:_hypothetical_protein_	746.7	48.7	363.5	418.9	93.9	29.9	271.4	331.3	355.8	150.3	220.7	60.3	0.673041832	0.963706797	-1.224348827
FIG00007296_ATP-dependent_RNA_helicase_YqfR_	FIG00007296	ATP-dependent_RNA_helicase_YqfR_	155.1	39.5	90.9	24.8	3.3	10.8	20.3	34.4	33.9	40.3	23.4	11.4	0.220682929	0.922627079	-1.981673794
"FIG01959970_Hemin_ABC_transporter,_permease_protein_"	FIG01959970	"Hemin_ABC_transporter,_permease_protein_"	0	0.3	0	16.3	6.3	0	0.7	3.3	0.7	1.8	2.5	0	0.356652162	0.928461525	-2.544444444
FIG00652622_FIG00652623:_hypothetical_protein_	FIG00652622	FIG00652623:_hypothetical_protein_	0	0.3	26	6.2	2.1	1.3	6.3	4.9	11.3	11	0	2.2	0.999999938	0.980600559	-1.005602241
FIG00936912_FIG00936914:_hypothetical_protein_	FIG00936912	FIG00936914:_hypothetical_protein_	117.4	17.3	252.7	207.2	49.8	13.3	162.6	131.6	129.6	88	134	19.3	0.97856211	0.980600559	1.01125133
FIG01296222_Eukaryotic_translation_initiation_factor_4A_	FIG01296222	Eukaryotic_translation_initiation_factor_4A_	0	2.4	85.9	3.2	0	224.4	0	0.8	11.3	7.3	1.6	4.3	0.01048731	0.36788675	-12.48616601
FIG01412275_FIG00631899:_hypothetical_protein_	FIG01412275	FIG00631899:_hypothetical_protein_	4.8	10.8	3	1.6	0	0	9.1	3.3	6.4	0	0	0	0.865666696	0.973775459	-1.074468085
FIG00521172_FIG00521176:_hypothetical_protein_	FIG00521172	FIG00521176:_hypothetical_protein_	71.2	36.5	117.8	612	39.1	35	351	94.1	239.4	335.9	131.6	78.9	0.554526952	0.943769103	1.350263273
FIG00589900_Sensory_transduction_protein_yxdJ_	FIG00589900	Sensory_transduction_protein_yxdJ_	7.4	4	9	0.8	5.4	3.4	2.8	6.4	16.2	1.8	2.4	3.6	0.851454512	0.973255585	1.106666667
FIG00939329_putative_integration_host_factor_IHF_alpha_subunit_	FIG00939329	putative_integration_host_factor_IHF_alpha_subunit_	21.3	6.4	24	29.5	10.6	5.8	46.1	29.4	32.6	16.5	39.2	3.6	0.338779078	0.928158198	1.715163934
FIG00068115_3-hydroxybutyryl-CoA_dehydrogenase_(EC_1.1.1.157)_	FIG00068115	3-hydroxybutyryl-CoA_dehydrogenase_(EC_1.1.1.157)_	5146.4	1045.1	1952.3	4588.2	1119.8	408	1413.6	1380.5	11124.1	2565.1	2651.3	816.2	0.450824501	0.939741418	1.399093956
FIG01323403_HD_domain_protein_	FIG01323403	HD_domain_protein_	106.1	84.3	184.8	326.1	83.4	220.2	18.2	39.2	232.3	110.1	53.3	109.6	0.213901221	0.921629055	-1.785853919
FIG01332169_Two-component_sensor_histidine_kinase_	FIG01332169	Two-component_sensor_histidine_kinase_	76.4	40.2	29	45.9	53.9	10.2	49.6	7.3	155.1	99	21.7	55.8	0.417206965	0.938759378	1.519953052
FIG00132715_Butyrate-acetoacetate_CoA-transferase_subunit_B_(EC_2.8.3.9)_	FIG00132715	Butyrate-acetoacetate_CoA-transferase_subunit_B_(EC_2.8.3.9)_	189.5	275.7	329.6	81	35	22.7	152.4	143.9	307.4	234.7	103.1	106.3	0.805176733	0.96936344	1.122442421
FIG00647282_FIG00647283:_hypothetical_protein_	FIG00647282	FIG00647283:_hypothetical_protein_	20.7	4.5	1	22.5	5.4	6.2	2.8	9.1	12.1	27.5	0	15.8	0.838903968	0.971339509	1.116086235
"FIG00005587_Transcriptional_regulator_of_rhamnose_utilization,_AraC_family_"	FIG00005587	"Transcriptional_regulator_of_rhamnose_utilization,_AraC_family_"	29.7	160.8	274.6	146	105.7	34.5	130.6	72.6	138.1	223.8	70	170	0.876006451	0.973775459	1.071609211
FIG00561003_putative_glycosyltransferase_protein_	FIG00561003	putative_glycosyltransferase_protein_	15.9	7.1	24	15.6	7.5	1.7	4.2	6.5	24	0	10.8	0.7	0.509654099	0.943069661	-1.554112554
FIG00525929_FIG00525930:_hypothetical_protein_	FIG00525929	FIG00525930:_hypothetical_protein_	54.2	0.6	1	31.8	0	0.4	64.9	0.8	4.2	7.3	0	0	0.884600325	0.973775459	-1.139896373
"FIG01955870_Transcriptional_regulator,_AraC_family_"	FIG01955870	"Transcriptional_regulator,_AraC_family_"	0	0	3	0	2184.3	3506.1	0	0	0.7	0	0	7.9	8.49E-05	0.179837924	-662.0232558
FIG00000277_Adenine_phosphoribosyltransferase_(EC_2.4.2.7)_	FIG00000277	Adenine_phosphoribosyltransferase_(EC_2.4.2.7)_	6751.6	637.6	2815.6	2137.6	965.6	1154.9	3549.7	5637.4	2149.9	1872.1	4430.3	717.1	0.550346259	0.943696431	1.269212952
FIG00005069_FIG005069:_Hypothetical_protein_	FIG00005069	FIG005069:_Hypothetical_protein_	0	0	0	0	7.4	0	0.7	0	10.6	0	0	0	0.626014322	0.955459298	1.527027027
